,abv,beer_link,beer_name,beer_style,beer_style_match,brewery,rDev,user_rating,Color,Flavor,Hoppiness,Maltiness,Fruitiness,Body,Sweetness,Custom Flavor,Sour,Aroma,spicy,bitter,csv_name,style_name,match_name
36,6.20,https://www.beeradvocate.com/beer/profile/99/206755/,Saranac S'More Porter,American Porter,americanporter,Matt Brewing Company / Saranac Brewery,5.5,3.64,dark ,2,1,2,0,2,2,burnt,0,0,0,0,americanporter,American Porter,americanporter
37,6.50,https://www.beeradvocate.com/beer/profile/2681/196773/,Hotbox Coffee Porter,American Porter,americanporter,Oskar Blues Grill & Brew,1.8,4.02,dark ,2,1,2,0,2,2,burnt,0,0,0,0,americanporter,American Porter,americanporter
38,6.50,https://www.beeradvocate.com/beer/profile/1924/88269/,Sweet Baby Jesus,American Porter,americanporter,DuClaw Brewing Company,3.1,3.93,dark ,2,1,2,0,2,2,burnt,0,0,0,0,americanporter,American Porter,americanporter
39,6.00,https://www.beeradvocate.com/beer/profile/418/186042/,Hard Wired Nitro Coffee Porter,American Porter,americanporter,Left Hand Brewing Company,3.2,4.16,dark ,2,1,2,0,2,2,burnt,0,0,0,0,americanporter,American Porter,americanporter
40,8.50,https://www.beeradvocate.com/beer/profile/22951/180509/,Coffee Pecan Pie Porter,American Porter,americanporter,Clown Shoes,0.5,3.94,dark ,2,1,2,0,2,2,burnt,0,0,0,0,americanporter,American Porter,americanporter
41,5.80,https://www.beeradvocate.com/beer/profile/28567/108448/,Cafe Leche Milk & Coffee Porter,American Porter,americanporter,Tin Man Brewing Company,8.9,4.17,dark ,2,1,2,0,2,2,burnt,0,0,0,0,americanporter,American Porter,americanporter
42,6.00,https://www.beeradvocate.com/beer/profile/20672/64276/,Cowbell,American Porter,americanporter,Sun King Brewing Company,4.3,3.85,dark ,2,1,2,0,2,2,burnt,0,0,0,0,americanporter,American Porter,americanporter
43,5.00,https://www.beeradvocate.com/beer/profile/423/197629/,Early Riser Coffee Porter,American Porter,americanporter,Boulevard Brewing Co.,0.5,3.98,dark ,2,1,2,0,2,2,burnt,0,0,0,0,americanporter,American Porter,americanporter
44,5.10,https://www.beeradvocate.com/beer/profile/267/738/,Odell Cutthroat Porter,American Porter,americanporter,Odell Brewing Company,1.0,4.03,dark ,2,1,2,0,2,2,burnt,0,0,0,0,americanporter,American Porter,americanporter
45,5.50,https://www.beeradvocate.com/beer/profile/38303/195701/,Hiram's Bones Porter,American Porter,americanporter,Kinkaider Brewing Co.,2.0,3.54,dark ,2,1,2,0,2,2,burnt,0,0,0,0,americanporter,American Porter,americanporter
46,10.00,https://www.beeradvocate.com/beer/profile/898/153273/,Heavy Seas - Blackbeard’s Breakfast Barrel Aged Imperial Coffee Porter,American Porter,americanporter,Heavy Seas Beer,1.9,4.23,dark ,2,1,2,0,2,2,burnt,0,0,0,0,americanporter,American Porter,americanporter
47,5.50,https://www.beeradvocate.com/beer/profile/3818/10433/,Porter,American Porter,americanporter,Southern Tier Brewing Company,0.8,3.71,dark ,2,1,2,0,2,2,burnt,0,0,0,0,americanporter,American Porter,americanporter
48,9.80,https://www.beeradvocate.com/beer/profile/2137/201540/,Twenty Five,American Porter,americanporter,Breckenridge Brewery,10.2,4.21,dark ,2,1,2,0,2,2,burnt,0,0,0,0,americanporter,American Porter,americanporter
49,7.00,https://www.beeradvocate.com/beer/profile/12172/37595/,½ Idjit!,American Porter,americanporter,Dugges Ale- & Porterbryggeri AB,9.5,3.8,dark ,2,1,2,0,2,2,burnt,0,0,0,0,americanporter,American Porter,americanporter
50,6.00,https://www.beeradvocate.com/beer/profile/28094/111891/,Vanilla Porter,American Porter,americanporter,Four String Brewing Company,1.6,3.69,dark ,2,1,2,0,2,2,burnt,0,0,0,0,americanporter,American Porter,americanporter
51,6.50,https://www.beeradvocate.com/beer/profile/1199/7348/,Founders Porter,American Porter,americanporter,Founders Brewing Company,0.7,4.28,dark ,2,1,2,0,2,2,burnt,0,0,0,0,americanporter,American Porter,americanporter
52,6.66,https://www.beeradvocate.com/beer/profile/33939/141845/,Creepshow,American Porter,americanporter,Warped Wing Brewing Company,3.5,4.1,dark ,2,1,2,0,2,2,burnt,0,0,0,0,americanporter,American Porter,americanporter
53,9.20,https://www.beeradvocate.com/beer/profile/3912/93797/,Obsidian Imperial Porter - Rum Barrel Aged,American Porter,americanporter,Cameron's Brewing Co.,10.0,4.18,dark ,2,1,2,0,2,2,burnt,0,0,0,0,americanporter,American Porter,americanporter
54,6.00,https://www.beeradvocate.com/beer/profile/30980/92636/,Oatmeal Porter,American Porter,americanporter,Zipline Brewing Co,1.5,3.94,dark ,2,1,2,0,2,2,burnt,0,0,0,0,americanporter,American Porter,americanporter
55,8.20,https://www.beeradvocate.com/beer/profile/25544/124143/,Yodo Con Leche,American Porter,americanporter,5 Rabbit Cerveceria,7.2,4.34,dark ,2,1,2,0,2,2,burnt,0,0,0,0,americanporter,American Porter,americanporter
56,5.50,https://www.beeradvocate.com/beer/profile/32587/102989/,Powerline Porter,American Porter,americanporter,Latitude 42 Brewing Company,8.7,4,dark ,2,1,2,0,2,2,burnt,0,0,0,0,americanporter,American Porter,americanporter
57,5.70,https://www.beeradvocate.com/beer/profile/40983/176591/,All Jacked Up,American Porter,americanporter,Tap & Screw Brewery,1.3,3.94,dark ,2,1,2,0,2,2,burnt,0,0,0,0,americanporter,American Porter,americanporter
58,5.80,https://www.beeradvocate.com/beer/profile/29599/116978/,Columbian Coffee Porter,American Porter,americanporter,JAFB Wooster Brewery,1.4,4.21,dark ,2,1,2,0,2,2,burnt,0,0,0,0,americanporter,American Porter,americanporter
59,5.00,https://www.beeradvocate.com/beer/profile/28760/119195/,Portergeist,American Porter,americanporter,Zauber Brewing Company,5.4,3.93,dark ,2,1,2,0,2,2,burnt,0,0,0,0,americanporter,American Porter,americanporter
60,8.50,https://www.beeradvocate.com/beer/profile/24892/95577/,X-Ray,American Porter,americanporter,Brewfist,1.1,3.74,dark ,2,1,2,0,2,2,burnt,0,0,0,0,americanporter,American Porter,americanporter
61,8.00,https://www.beeradvocate.com/beer/profile/34735/121671/,Panty Dropper,American Porter,americanporter,Sick N Twisted Brewing Co.,5.1,3.88,dark ,2,1,2,0,2,2,burnt,0,0,0,0,americanporter,American Porter,americanporter
62,7.80,https://www.beeradvocate.com/beer/profile/73/27900/,Great Lakes Alberta Clipper,American Porter,americanporter,Great Lakes Brewing Co.,1.0,3.96,dark ,2,1,2,0,2,2,burnt,0,0,0,0,americanporter,American Porter,americanporter
63,8.50,https://www.beeradvocate.com/beer/profile/19544/169069/,Smoke N' Burn,American Porter,americanporter,Fat Head's Brewery & Saloon,1.2,4.1,dark ,2,1,2,0,2,2,burnt,0,0,0,0,americanporter,American Porter,americanporter
64,6.00,https://www.beeradvocate.com/beer/profile/28908/157644/,Wasatch Polygamy Nitro Porter,American Porter,americanporter,Utah Brewers Cooperative,6.7,4,dark ,2,1,2,0,2,2,burnt,0,0,0,0,americanporter,American Porter,americanporter
65,9.20,https://www.beeradvocate.com/beer/profile/689/47747/,Red Eye Coffee Porter,American Porter,americanporter,Two Brothers Brewing Company,2.0,4.1,dark ,2,1,2,0,2,2,burnt,0,0,0,0,americanporter,American Porter,americanporter
66,7.50,https://www.beeradvocate.com/beer/profile/35568/164989/,Blown Gasket,American Porter,americanporter,Braxton Brewing Company,4.5,3.94,dark ,2,1,2,0,2,2,burnt,0,0,0,0,americanporter,American Porter,americanporter
67,5.70,https://www.beeradvocate.com/beer/profile/1880/7327/,Dark Side Vanilla Porter,American Porter,americanporter,Empyrean Brewing Company,7.0,3.44,dark ,2,1,2,0,2,2,burnt,0,0,0,0,americanporter,American Porter,americanporter
68,10.19,https://www.beeradvocate.com/beer/profile/220/153599/,ScareCity #2 Rye Cocoa Porter,American Porter,americanporter,Lagunitas Brewing Company,3.4,4.21,dark ,2,1,2,0,2,2,burnt,0,0,0,0,americanporter,American Porter,americanporter
69,6.00,https://www.beeradvocate.com/beer/profile/192/139172/,Portage Porter,American Porter,americanporter,New Belgium Brewing,3.3,4.02,dark ,2,1,2,0,2,2,burnt,0,0,0,0,americanporter,American Porter,americanporter
70,6.00,https://www.beeradvocate.com/beer/profile/710/86776/,Leinenkugel's Snowdrift Vanilla Porter,American Porter,americanporter,Jacob Leinenkugel Brewing Company,7.9,3.69,dark ,2,1,2,0,2,2,burnt,0,0,0,0,americanporter,American Porter,americanporter
71,6.70,https://www.beeradvocate.com/beer/profile/35083/123633/,Sweet (Sød),American Porter,americanporter,MAD Beer,11.8,4.27,dark ,2,1,2,0,2,2,burnt,0,0,0,0,americanporter,American Porter,americanporter
72,6.00,https://www.beeradvocate.com/beer/profile/199/5703/,Black Marlin Porter,American Porter,americanporter,Ballast Point Brewing Company,1.5,4.03,dark ,2,1,2,0,2,2,burnt,0,0,0,0,americanporter,American Porter,americanporter
73,11.50,https://www.beeradvocate.com/beer/profile/24300/101415/,Imperial Biscotti Break Natale - Pretty Please With A Cherry On Top,American Porter,americanporter,Evil Twin Brewing,1.7,4.21,dark ,2,1,2,0,2,2,burnt,0,0,0,0,americanporter,American Porter,americanporter
74,11.50,https://www.beeradvocate.com/beer/profile/24300/90473/,Imperial Doughnut Break,American Porter,americanporter,Evil Twin Brewing,10.5,4.63,dark ,2,1,2,0,2,2,burnt,0,0,0,0,americanporter,American Porter,americanporter
75,6.50,https://www.beeradvocate.com/beer/profile/37742/150832/,Probie Porter,American Porter,americanporter,Old Firehouse Brewing,5.3,3.96,dark ,2,1,2,0,2,2,burnt,0,0,0,0,americanporter,American Porter,americanporter
76,6.60,https://www.beeradvocate.com/beer/profile/651/139189/,Embrr,American Porter,americanporter,Ithaca Beer Company,5.6,3.98,dark ,2,1,2,0,2,2,burnt,0,0,0,0,americanporter,American Porter,americanporter
77,6.20,https://www.beeradvocate.com/beer/profile/28726/82124/,Janis Porter,American Porter,americanporter,Naparbier Sdad. Coop.,1.3,3.66,dark ,2,1,2,0,2,2,burnt,0,0,0,0,americanporter,American Porter,americanporter
78,6.00,https://www.beeradvocate.com/beer/profile/28764/109341/,Pay It Forward Cocoa Porter,American Porter,americanporter,West Sixth Brewing Company,2.8,4,dark ,2,1,2,0,2,2,burnt,0,0,0,0,americanporter,American Porter,americanporter
79,5.50,https://www.beeradvocate.com/beer/profile/24412/64896/,Pogue's Run Porter,American Porter,americanporter,Flat 12 Bierwerks,1.3,3.91,dark ,2,1,2,0,2,2,burnt,0,0,0,0,americanporter,American Porter,americanporter
80,7.00,https://www.beeradvocate.com/beer/profile/1432/41076/,Drawn And Portered,American Porter,americanporter,Jackie O's Pub & Brewery,0.2,3.99,dark ,2,1,2,0,2,2,burnt,0,0,0,0,americanporter,American Porter,americanporter
81,8.50,https://www.beeradvocate.com/beer/profile/140/127726/,Maillard's Odyssey: Imperial Dark Ale (Beer Camp Across America),American Porter,americanporter,Sierra Nevada Brewing Co.,5.2,4.24,dark ,2,1,2,0,2,2,burnt,0,0,0,0,americanporter,American Porter,americanporter
82,6.50,https://www.beeradvocate.com/beer/profile/22439/86625/,Old North Mocha Porter,American Porter,americanporter,Lake of Bays Brewing Company,5.5,4,dark ,2,1,2,0,2,2,burnt,0,0,0,0,americanporter,American Porter,americanporter
83,6.10,https://www.beeradvocate.com/beer/profile/29858/114005/,Paycheck's Porter,American Porter,americanporter,Fifty West Brewing Co,10.7,4.24,dark ,2,1,2,0,2,2,burnt,0,0,0,0,americanporter,American Porter,americanporter
84,4.40,https://www.beeradvocate.com/beer/profile/32115/117371/,Stovepipe Winter Porter,American Porter,americanporter,Homestead Beer Co.,0.3,3.44,dark ,2,1,2,0,2,2,burnt,0,0,0,0,americanporter,American Porter,americanporter
85,5.60,https://www.beeradvocate.com/beer/profile/467/2652/,Summit Great Northern Porter,American Porter,americanporter,Summit Brewing Company,3.7,3.96,dark ,2,1,2,0,2,2,burnt,0,0,0,0,americanporter,American Porter,americanporter
86,9.80,https://www.beeradvocate.com/beer/profile/98/112849/,Black Forest,American Porter,americanporter,Harpoon Brewery & Beer Hall,7.7,3.93,dark ,2,1,2,0,2,2,burnt,0,0,0,0,americanporter,American Porter,americanporter
87,5.00,https://www.beeradvocate.com/beer/profile/1170/3844/,Bad Elmer's Porter,American Porter,americanporter,Upland Brewing Company,8.7,3.26,dark ,2,1,2,0,2,2,burnt,0,0,0,0,americanporter,American Porter,americanporter
88,11.50,https://www.beeradvocate.com/beer/profile/24300/84140/,Lil' B,American Porter,americanporter,Evil Twin Brewing,10.1,4.59,dark ,2,1,2,0,2,2,burnt,0,0,0,0,americanporter,American Porter,americanporter
89,7.50,https://www.beeradvocate.com/beer/profile/49024/323229/,Swiss Chocolate Stout,American Stout,americanstout,March First Brewing,0,3.77,black,2,1,1,0,2,0,roasted,0,0,0,0,americanstout,American Stout,americanstout
90,6.80,https://www.beeradvocate.com/beer/profile/50839/309000/,Jazz,American Stout,americanstout,Fretboard Brewing Company,0,3.77,black,2,1,1,0,2,0,roasted,0,0,0,0,americanstout,American Stout,americanstout
91,9.30,https://www.beeradvocate.com/beer/profile/46778/244561/,Chocolate Cherry Stout,American Stout,americanstout,The Woodburn Brewery,1.5,4.19,black,2,1,1,0,2,0,roasted,0,0,0,0,americanstout,American Stout,americanstout
92,7.50,https://www.beeradvocate.com/beer/profile/345/303464/,Blackboard Series #7 - Black Forest Cake Stout with Cherry,American Stout,americanstout,Victory Brewing Company - Downingtown,4.3,3.53,black,2,1,1,0,2,0,roasted,0,0,0,0,americanstout,American Stout,americanstout
93,?,https://www.beeradvocate.com/beer/profile/1464/58623/,Elevator Mocha Plum Stout,American Stout,americanstout,Elevator Brewery & Draught Haus,3.8,4.15,black,2,1,1,0,2,0,roasted,0,0,0,0,americanstout,American Stout,americanstout
94,5.70,https://www.beeradvocate.com/beer/profile/28290/272853/,AmeriStop Sherman's Stout,American Stout,americanstout,Buckeye Lake Brewery,0,4,black,2,1,1,0,2,0,roasted,0,0,0,0,americanstout,American Stout,americanstout
95,6.70,https://www.beeradvocate.com/beer/profile/35568/269276/,Bluff White Mocha Stout,American Stout,americanstout,Braxton Brewing Company,0,4.04,black,2,1,1,0,2,0,roasted,0,0,0,0,americanstout,American Stout,americanstout
