names,style,url
Golden Eagle Beer,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/2650/6374/
Duff,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/161/113200/
Tsingtao Premium,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/281/16971/
Estrella Jalisco,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/75/240659/
Cerveza Monterrey,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/888/19752/
Halida Beer,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/9373/16946/
Marathon,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/1292/7002/
Gabby Blonde Lager,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/1162/5240/
Victoria,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/9048/26313/
Carling Black Label,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/466/4690/
Cascade Premium Lager,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/1595/4463/
Boxer Lager,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/9536/50819/
Classic Lager,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/2519/13256/
Itaipava Pilsen,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/10214/19970/
Original,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/2479/18032/
Bahia Lager,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/888/15734/
Cubanero Fuerte,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/1685/40619/
Beer 30 Ice,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/1422/49117/
Port Republic Lager,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/21092/71689/
Mountain Crest Classic Lager Beer,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/435/62084/
Cantina,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/21092/11728/
Boag's Draught,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/1479/4051/
Mountain Brew Beer Ice,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/302/58386/
