,names,style,url,urlHack
12286,Pirogue Black Tripel,Tripel,https://www.beeradvocate.com/beer/profile/33939/117628/,https://www.beeradvocate.com/beer/profile/33939/117628/ 
12287,Hansje Drinker,Tripel,https://www.beeradvocate.com/beer/profile/552/17032/,https://www.beeradvocate.com/beer/profile/552/17032/ 
12288,Regent's Rye Tripel,Tripel,https://www.beeradvocate.com/beer/profile/35374/137894/,https://www.beeradvocate.com/beer/profile/35374/137894/ 
12289,Luminosity,Tripel,https://www.beeradvocate.com/beer/profile/34225/115923/,https://www.beeradvocate.com/beer/profile/34225/115923/ 
12290,Andelot Cuvee Lunatique,Tripel,https://www.beeradvocate.com/beer/profile/3521/37446/,https://www.beeradvocate.com/beer/profile/3521/37446/ 
12291,Hat Trick Tripel,Tripel,https://www.beeradvocate.com/beer/profile/27021/77199/,https://www.beeradvocate.com/beer/profile/27021/77199/ 
12292,Genèse,Tripel,https://www.beeradvocate.com/beer/profile/1141/176529/,https://www.beeradvocate.com/beer/profile/1141/176529/ 
12293,Tre Fontane Tripel,Tripel,https://www.beeradvocate.com/beer/profile/40503/206553/,https://www.beeradvocate.com/beer/profile/40503/206553/ 
12294,Tripel Brun,Tripel,https://www.beeradvocate.com/beer/profile/34301/117053/,https://www.beeradvocate.com/beer/profile/34301/117053/ 
12295,Brother Tim's Triple,Tripel,https://www.beeradvocate.com/beer/profile/793/11898/,https://www.beeradvocate.com/beer/profile/793/11898/ 
12296,Reverent Monk,Tripel,https://www.beeradvocate.com/beer/profile/11814/148904/,https://www.beeradvocate.com/beer/profile/11814/148904/ 
12297,Man-Made Earthquake,Tripel,https://www.beeradvocate.com/beer/profile/46299/253867/,https://www.beeradvocate.com/beer/profile/46299/253867/ 
12298,Tripel Wit,Tripel,https://www.beeradvocate.com/beer/profile/10549/47820/,https://www.beeradvocate.com/beer/profile/10549/47820/ 
12299,Halucidation,Tripel,https://www.beeradvocate.com/beer/profile/27025/106813/,https://www.beeradvocate.com/beer/profile/27025/106813/ 
12300,Bastone Nectar Des Dieux Triple,Tripel,https://www.beeradvocate.com/beer/profile/9617/21063/,https://www.beeradvocate.com/beer/profile/9617/21063/ 
12301,Tante Tricotante,Tripel,https://www.beeradvocate.com/beer/profile/16803/67917/,https://www.beeradvocate.com/beer/profile/16803/67917/ 
12302,Highwater Hoppy Tripel,Tripel,https://www.beeradvocate.com/beer/profile/23966/84074/,https://www.beeradvocate.com/beer/profile/23966/84074/ 
12303,Freaky Deaky,Tripel,https://www.beeradvocate.com/beer/profile/42042/187249/,https://www.beeradvocate.com/beer/profile/42042/187249/ 
12304,Bees In The Trappe,Tripel,https://www.beeradvocate.com/beer/profile/32893/104920/,https://www.beeradvocate.com/beer/profile/32893/104920/ 
12305,Three Sundays Oaked Tripel,Tripel,https://www.beeradvocate.com/beer/profile/19765/186119/,https://www.beeradvocate.com/beer/profile/19765/186119/ 
12306,Epiphany Tripel,Tripel,https://www.beeradvocate.com/beer/profile/390/26940/,https://www.beeradvocate.com/beer/profile/390/26940/ 
12307,De Graal Tripel,Tripel,https://www.beeradvocate.com/beer/profile/2361/12134/,https://www.beeradvocate.com/beer/profile/2361/12134/ 
12308,Transylvania Tripel,Tripel,https://www.beeradvocate.com/beer/profile/28764/89497/,https://www.beeradvocate.com/beer/profile/28764/89497/ 
12309,Kuka - Tripel,Tripel,https://www.beeradvocate.com/beer/profile/31577/94879/,https://www.beeradvocate.com/beer/profile/31577/94879/ 
12310,Thai Thai Tripel,Tripel,https://www.beeradvocate.com/beer/profile/35209/132260/,https://www.beeradvocate.com/beer/profile/35209/132260/ 
12311,Dominus Triple,Tripel,https://www.beeradvocate.com/beer/profile/2791/87229/,https://www.beeradvocate.com/beer/profile/2791/87229/ 
12312,Murray's Grand Cru,Tripel,https://www.beeradvocate.com/beer/profile/12897/32002/,https://www.beeradvocate.com/beer/profile/12897/32002/ 
