,names,style,url
5160,La Frousse,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/3718/16842/
5161,Sledhead Red,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/438/46546/
5162,E Street Ale,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/17284/47571/
5163,Red Ale Priprioca,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/27297/91604/
5164,Golden Nugget,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/14359/43477/
5165,Rooibos Red Ale With Vanilla,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/30349/123611/
5166,Red Coat Canadian Red Ale,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/31746/172253/
5167,Big Horn Buttface Amber Ale,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/11912/25313/
5168,Stone Hammer Maple Red Ale,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/708/50408/
5169,The Prospector,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/41928/234731/
5170,Nathan's 13 Minute Amber,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/25800/79361/
5171,The Former Tenant,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/35975/131080/
5172,Chelsea Sunset Red,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/1635/6671/
5173,Bootjes Bier,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/28813/171791/
5174,Buttface Amber,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/5191/69662/
5175,38 Special,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/3098/40735/
5176,Amber Eh!,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/41451/181285/
5177,Old Oak Amber Ale,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/9798/18483/
5178,Hammerhead Red Ale,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/3956/14389/
5179,Matanzas River Red Ale,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/42207/192319/
5180,Cognac Barrel,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/40619/220487/
5181,La Colborne,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/18003/47950/
5182,Mettleman Copper Ale,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/11977/37199/
5183,Forty Four American Amber,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/29686/86353/
5184,Baphomet,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/859/110929/
5185,Pecan Piewhole,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/16503/99413/
5186,Red Spot,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/1497/15202/
5187,Amber Ella,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/25482/99176/
5188,Charles Henri Ale Ambré,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/36555/136304/
5189,Blind Date,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/35412/73082/
5190,House Red,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/43011/198275/
5191,Amber Ale,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/936/12421/
5192,STL RED,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/3268/275083/
5193,Serenity Amber Ale,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/13907/79256/
5194,Red Jacket Ale,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/5246/20380/
5195,Barrel Harbor Red Ale,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/32140/101021/
5196,Deep Roots,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/43741/216738/
5197,County Street Amber,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/17232/51121/
5198,Atlas Amber Ale,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/363/947/
5199,Elektron,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/32148/107706/
5200,Dougie Style Amber,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/13981/108730/
5201,Móri,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/17208/46270/
5202,Big Rig Rideau Red,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/29314/110281/
5203,Wynwood Fox,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/33003/125642/
5204,Fort Pitt Ale,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/23416/127959/
5205,Amber Ale,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/21876/89053/
5206,Workingman's Red,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/2104/11522/
5207,Ambrée Amère,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/17233/48647/
5208,Red Cup Red India Pale Ale,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/36487/221455/
5209,Red Drum,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/30809/97551/
5210,Native Son,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/25818/136467/
5211,Country House Red Ale,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/22920/58653/
5212,Ryane's Red,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/26536/76063/
5213,Ragged Mountain Red Ale,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/1788/22052/
5214,Grimousse,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/11528/38183/
5215,Bobcat Imperial Red,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/27042/74795/
5216,Jesse's Girl,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/30920/137264/
5217,Jazzfest Sugarcane And Pecan Ale,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/32952/229936/
5218,Chill Clinton,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/29250/188982/
5219,Crimson Ale,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/33392/109373/
5220,Super Jupiter Grapefruit ISA,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/11977/160574/
5221,North West Ale,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/3447/73027/
5222,Fantapants,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/9139/54339/
5223,Whistle Stop Amber,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/1925/37706/
5224,Lakewood Manimal,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/29656/144720/
5225,Kettleface Double Dry Hopped Imperial Red Ale,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/33589/139602/
5226,Cherrywood,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/39879/166996/
5227,Red Reuben,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/609/138581/
5228,Market Street Wrought Iron Red,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/1181/12125/
5229,Little Bastard Ale,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/47021/272734/
5230,Ginger,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/30516/95075/
5231,Roo's Red Ale,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/31850/95333/
5232,Creeper Trail Amber Ale,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/21257/63335/
5233,Louis XVII,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/34887/167273/
5234,Amber Waves Ale,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/1793/4984/
5235,Amber,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/33228/105338/
5236,Habanero Smoked Ale,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/25133/80509/
5237,Victorville Red,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/30807/116095/
5238,Raging Rhino Red,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/818/13187/
5239,North Star Amber,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/1550/2693/
5240,Ride Your Bike Double Red Ale,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/16068/126877/
5241,Sanibel Red Island Ale,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/31974/102561/
5242,Boutefeu,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/16803/48041/
5243,Razorback,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/12379/38061/
5244,Penn's Curse Amber,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/1550/29872/
5245,Pretzel City Amber,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/34113/117937/
5246,Raked Over Red,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/30458/87993/
5247,Drake's Red Eye,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/3835/59587/
